Name,Fide ID,Nascimento,Place of Birth,Death,Date they became Grandmaster,Federation,Sexo,Age they became Grandmaster
"Tischbierek, Raj",4611322.0,1962-09-24 00:00:00,Leipzig,,1990,Germany,M,28.0
"Tisdall, Jonathan",1500066.0,1958-08-26 00:00:00,"Buffalo, New York",,1993,Norway,M,35.0
"Tishin, Petr",4130057.0,1976-10-21 00:00:00,,,2002,Russia,M,26.0
"Tiviakov, Sergei",1008013.0,1973-02-14 00:00:00,Krasnodar,,1991,Russia • Netherlands,M,18.0
"Tkachiev, Vladislav",618438.0,1973-11-09 00:00:00,Moscow,,1995,Kazakhstan • France,M,22.0
"Todorčević Antić, Miodrag",900060.0,1940-11-10 00:00:00,Belgrade,,1989,Yugoslavia • Serbia and Montenegro • Spain,M,49.0
"Todorov, Todor",2903237.0,1974-11-08 00:00:00,Varna,,2006,Bulgaria,M,32.0
"Todorović, Goran",900168.0,1963-05-17 00:00:00,,,1997,Serbia,M,34.0
"Tolnai, Tibor",700126.0,1964-09-23 00:00:00,Hódmezővásárhely,,1990,Hungary,M,26.0
"Tolush, Alexander",,1910-05-01 00:00:00,Saint Petersburg,1969-03-03 00:00:00,1953,Soviet Union,M,43.0
"Tomashevsky, Evgeny",4147235.0,1987-07-01 00:00:00,Saratov,,2005,Russia,M,18.0
"Tomczak, Jacek",1124668.0,1990-03-05 00:00:00,Śrem,,2012,Poland,M,22.0
"Topalov, Veselin",2900084.0,1975-03-15 00:00:00,Ruse,,1992,Bulgaria,M,17.0
"Torre Repetto, Carlos",,1905-11-23 00:00:00,"Mérida, Yucatán",1978-03-19 00:00:00,1977,Mexico,M,72.0
"Torre, Eugenio",5200016.0,1951-11-04 00:00:00,Iloilo City,,1974,Philippines,M,23.0
"Tošić, Miroslav",900460.0,1960-06-15 00:00:00,Svrljig,2019-11-24 00:00:00,1998,Serbia,M,38.0
"Totsky, Leonid",4115228.0,1967-08-10 00:00:00,,,2000,Russia,M,33.0
"Toufighi, Homayoon",12503592.0,1990-03-21 00:00:00,Rasht,,2010,Iran,M,20.0
"Trajković, Predrag",915874.0,1970-05-28 00:00:00,Gnjilane,2019-02-13 00:00:00,2008,Serbia,M,38.0
Trần Tuấn Minh,12401820.0,1997-10-21 00:00:00,,,2017,Vietnam,M,20.0
"Tratar, Marko",14600684.0,1974-05-20 00:00:00,Ljubljana,,2006,Slovakia,M,32.0
"Tregubov, Pavel",4115341.0,1971-12-21 00:00:00,Krasnodar,,1994,Russia,M,23.0
"Trifunović, Petar",,1910-08-31 00:00:00,Dubrovnik,1980-12-08 00:00:00,1953,Yugoslavia,M,43.0
"Tringov, Georgi",2900203.0,1937-03-07 00:00:00,Plovdiv,2000-07-02 00:00:00,1963,Bulgaria,M,26.0
"Tristán, Leonardo",113816.0,1989-11-22 00:00:00,Necochea,,2020,Argentina,M,31.0
"Troff, Kayden",2047896.0,1998-05-06 00:00:00,"Murray, Utah",,2014,United States,M,16.0
"Tseitlin, Mark",2800128.0,1943-09-23 00:00:00,Leningrad,,1997,Israel,M,54.0
"Tseshkovsky, Vitaly",4100921.0,1944-09-25 00:00:00,Omsk,2011-12-24 00:00:00,1975,Soviet Union • Russia,M,31.0
"Tsydypov, Zhamsaran",4108566.0,1996-09-05 00:00:00,Ulan-Ude,,2019,Russia,M,23.0
Từ Hoàng Thông,12400076.0,1972-06-22 00:00:00,Ho Chi Minh City,,1999,Vietnam,M,27.0
"Tukhaev, Adam",14109476.0,1988-02-14 00:00:00,Kerch,,2007,Ukraine,M,19.0
"Tukmakov, Vladimir",14100096.0,1946-03-15 00:00:00,Odessa,,1972,Soviet Union • Ukraine,M,26.0
"Tunik, Gennady",4101219.0,1953-05-27 00:00:00,Magadan,,2002,Russia,M,49.0
"Turner, Matthew",402893.0,1975-12-11 00:00:00,,,2002,England • Scotland,M,27.0
"Turov, Maxim",4120086.0,1979-12-07 00:00:00,Gukovo,,1999,Russia,M,20.0
"Tyomkin, Dimitri",2803089.0,1977-03-25 00:00:00,,,2001,Canada,M,24.0
"Ubilava, Elizbar",13600052.0,1950-08-27 00:00:00,Tbilisi,,1988,Soviet Union • Spain,M,38.0
"Udovčić, Mijo",,1920-09-11 00:00:00,Stara Jošava,1984-04-08 00:00:00,1962,Yugoslavia,M,42.0
"Uhlmann, Wolfgang",4611284.0,1935-03-29 00:00:00,Dresden,2020-08-24 00:00:00,1959,East Germany • Germany,M,24.0
"Ulybin, Mikhail",4101405.0,1971-05-31 00:00:00,,,1991,Russia,M,20.0
"Unzicker, Wolfgang",4600126.0,1925-06-26 00:00:00,Pirmasens,2006-04-20 00:00:00,1954,West Germany • Germany,M,29.0
"Urday Cáceres, Henry",3800032.0,1967-07-05 00:00:00,Lima,,1992,Peru,M,25.0
"Urkedal, Frode",1506102.0,1993-05-14 00:00:00,Oslo,,2016,Norway,M,23.0
"Ushenina, Anna",14110911.0,1985-08-30 00:00:00,Kharkiv,,2012,Ukraine,F,27.0
"Vachier-Lagrave, Maxime",623539.0,1990-10-21 00:00:00,Nogent-sur-Marne,,2005,France,M,15.0
"Vadász, László",700401.0,1948-01-27 00:00:00,Kiskunfélegyháza,2005-01-03 00:00:00,1976,Hungary,M,28.0
